0,7:22,7:29,7:39
0,7:37,7:44,7:54
0,7:45,7:52,8:02
0,7:59,8:06,8:16
1,8:08,8:15,9:14
0,9:07,9:14,9:24
0,9:18,9:25,9:35
0,9:27,9:34,9:44
0,9:36,9:43,9:53
0,9:47,9:54,10:04
0,9:53,10:00,10:10
0,10:03,10:10,10:20
0,10:11,10:18,10:28
0,10:17,10:24,10:34
0,10:33,10:40,10:50
0,10:49,10:56,11:06
0,11:09,11:16,11:26
0,11:29,11:36,11:46
0,11:49,11:56,12:06
0,12:02,12:09,12:19
0,12:09,12:16,12:26
0,12:16,12:23,12:33
0,12:29,12:36,12:46
0,12:36,12:43,12:53
0,12:49,12:56,13:06
0,13:09,13:16,13:26
0,13:29,13:36,13:46
0,13:49,13:56,14:06
0,14:09,14:16,14:26
0,14:29,14:36,14:46
0,14:49,14:56,15:06
0,15:02,15:09,15:19
0,15:13,15:20,15:30
0,15:21,15:28,15:38
0,15:34,15:41,15:51
0,15:44,15:51,16:01
0,15:56,16:03,16:13
0,16:08,16:15,16:25
0,16:19,16:26,16:36
0,16:29,16:36,16:46
0,16:39,16:46,16:56
1,16:51,16:58,17:33
0,17:26,17:33,17:43
0,17:36,17:43,17:53
0,17:44,17:51,18:01
0,17:53,18:00,18:10
0,18:01,18:08,18:18
0,18:09,18:16,18:26
0,18:20,18:27,18:37
0,18:30,18:37,18:47
0,18:42,18:49,18:59
0,18:52,18:59,19:09
0,19:04,19:11,19:21
0,19:12,19:19,19:29
0,19:31,19:38,19:48
0,19:51,19:58,20:08
0,20:08,20:15,20:25
0,20:28,20:35,20:45
0,20:49,20:56,21:06
0,21:11,21:18,21:28
0,21:20,21:27,21:35
